study_ID,author_first,year,extracted,order,family,species,species_OTL,resistance,origin,setting,life_stage,sex,mass_g,lon,lat,trt_temp,exposed,strain,genotype,strain_name,dose_ZE_ml,Bd,time_post_days,bio_hier,trait,response,trait_unit,trait_value,notes,title,ref
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.73,48.498,-35.867,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,87,Tissue,Reproduction,Ovary area,mm,11.403,,Declining amphibians might be evolving increased reproductive effort in the face of devastating disease,https://onlinelibrary.wiley.com/doi/full/10.1111/evo.14327?casa_token=1VCbTLjkJKoAAAAA%3A7IHvtsKwTiGLY3fe_KmEySqMZtMANxaiiQ0Z9rxDRnp2__0PNzWfkaI63J-bUVZun9tnJKA10ei3YkU
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.06,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,87,Tissue,Reproduction,Ovary area,mm,23.919,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,88,Tissue,Reproduction,Ovary area,mm,14.227,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.68,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,88,Tissue,Reproduction,Ovary area,mm,24.328,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.02,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,89,Tissue,Reproduction,Ovary area,mm,3.635,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,1.7,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,57869,33,Tissue,Reproduction,Ovary area,mm,1.253,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.58,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,89662,45,Tissue,Reproduction,Ovary area,mm,2.996,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,2.03,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,132004,39,Tissue,Reproduction,Ovary area,mm,3.864,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,2.27,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,469253,36,Tissue,Reproduction,Ovary area,mm,3.819,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.59,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,6211433,30,Tissue,Reproduction,Ovary area,mm,19.416,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.31,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,87,Tissue,Reproduction,Ovary area,mm,15.137,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,6.63,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,88,Tissue,Reproduction,Ovary area,mm,17.228,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.16,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,89,Tissue,Reproduction,Ovary area,mm,25.017,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.43,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,81655,28,Tissue,Reproduction,Ovary area,mm,27.705,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.37,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,100204,28,Tissue,Reproduction,Ovary area,mm,14.029,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.02,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,168290,30,Tissue,Reproduction,Ovary area,mm,0.911,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.01,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,339465,30,Tissue,Reproduction,Ovary area,mm,17.422,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.78,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,446404,28,Tissue,Reproduction,Ovary area,mm,7.702,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.41,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,707072,32,Tissue,Reproduction,Ovary area,mm,10.299,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,2.88,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,1254565,28,Tissue,Reproduction,Ovary area,mm,2.523,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.09,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,1662160,29,Tissue,Reproduction,Ovary area,mm,8.142,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.54,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,87,Tissue,Reproduction,Ovary area,mm,16.96,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.32,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,87,Tissue,Reproduction,Ovary area,mm,2.996,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.27,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,88,Tissue,Reproduction,Ovary area,mm,1.191,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.19,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,89,Tissue,Reproduction,Ovary area,mm,13.131,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,6.7,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,119857,46,Tissue,Reproduction,Ovary area,mm,26.688,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.28,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,147473,48,Tissue,Reproduction,Ovary area,mm,1.305,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.11,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,1366742,42,Tissue,Reproduction,Ovary area,mm,49.969,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,6.96,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,86,Tissue,Reproduction,Ovary area,mm,15.937,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.46,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,87,Tissue,Reproduction,Ovary area,mm,15.089,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,6.41,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,87,Tissue,Reproduction,Ovary area,mm,9.279,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.67,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,89,Tissue,Reproduction,Ovary area,mm,9.892,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.43,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,562288,23,Tissue,Reproduction,Ovary area,mm,6.709,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.65,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,620529,28,Tissue,Reproduction,Ovary area,mm,22.842,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,2.18,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,692329,29,Tissue,Reproduction,Ovary area,mm,2.376,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.63,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,760892,24,Tissue,Reproduction,Ovary area,mm,2.143,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.61,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,830377,30,Tissue,Reproduction,Ovary area,mm,17.946,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.73,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,87,Tissue,Reproduction,Ovary area,mm,11.625,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.06,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,87,Tissue,Reproduction,Ovary area,mm,16.067,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,88,Tissue,Reproduction,Ovary area,mm,24.405,,,
