study_ID,author_first,year,extracted,Order,Family,species,species_OTL,resistance,origin,setting,life_stage,sex,mean_mass_g,lon,lat,trt_temp,Bd_strain,Bd,time_post_days,bio_hier,trait,response,trait_unit,sample_size,chi,F,t,df,corr_coeff,corr_corrected,Zr,Zr_v,Zr_sei,notes,title,ref
1,Karvemo,2019,Table 3,Anura,Bufonidae,Bufo bufo,Bufo bufo,Tolerant,Wild,Wild,Adult,,,17.787193,59.392371,,,,,Organism,Body condition,Body mass index,,577,,,-2.86,576,-0.118329448,n,-0.118886412,0.00174216,0.041739194,Bd load not documented,Urban environment and reservoir host species are associated with Batrachochytrium dendrobatidis infection prevalence in the common toad,https://www.int-res.com/abstracts/dao/v134/n1/p33-42/
2,Kelleher,2021,Fig 2,Anura,Myobatrachidae,Pseudophryne pengilleyi,Pseudophryne pengilleyi,Sensitive,Wild,Wild,Adult,Male,0.97,148.601626,-35.269138,11.5,,,,Organism,Behaviour,Call rate,pulses/s,25,,,2.318,24,0.427699126,n,0.457077283,0.045454545,0.213200716,Bd load not documented,Disease influences male advertisement and mating outcomes in a critically endangered amphibian,https://www.sciencedirect.com/science/article/pii/S0003347221000087?casa_token=Kkgdi8yog7AAAAAA:asuKizGaK8hbubJ_61e5rnqrEWc9x9g5uM2ALiGaCTfv475k4uuz3_X-7n-YA9SbxuEuRITY
3,Barrile,2021,text,Anura,Bufonidae,Anaxyrus boreas,Anaxyrus boreas,Sensitive,Wild,Wild,Adult,,,-110.4,42.983333,,,,,Organism,Thermoregulation,Body temp,,24,,,7.786,23,0.851441186,n,1.261369349,0.047619048,0.21821789,Bd load not documented,Infection Status as the Basis for Habitat Choices in a Wild Amphibian,https://www.journals.uchicago.edu/doi/full/10.1086/711927
4,Greenspan,2017,Table 1,Anura,Pelodryadidae,Litoria serrata,Litoria serrata,Sensitive,Wild,Lab,Adult,,,145.667887,-16.895378,,Paluma-Lseratta-2012-RW-1,13700,36,Organism,Thermoregulation,CTmax,,16,,0.5153,,1,-0.583150644,n,-0.66722366,0.076923077,0.277350098,,Infection increases vulnerability to climate change via effects on host thermal tolerance,https://www.nature.com/articles/s41598-017-09950-3
5,Crawford-Ash,2021,text,Anura,Pelodryadidae,Litoria citropa,Litoria citropa,Sensitive,Wild,Wild,Adult,Male,,150.916296,-34.238391,,,53,,Organism,Body condition,Body mass index,,47,0.6684,,,1,-0.119252994,n,-0.119823177,0.022727273,0.150755672,,"Bad neighbours: amphibian chytrid fungus Batrachochytrium dendrobatidis infection dynamics in three co-occurring frog species of southern Sydney, Australia",https://www.int-res.com/abstracts/dao/v143/p101-108/
5,Crawford-Ash,2021,text,Anura,Myobatrachidae,Crinia signifera,Crinia signifera,Resilient,Wild,Wild,Adult,Male,,,,,,3,,Organism,Body condition,Body mass index,,61,0.0222,,,1,-0.019077065,n,-0.01907938,0.017241379,0.131306433,,,
5,Crawford-Ash,2021,text,Anura,Pelodryadidae,Litoria lesueurii,Litoria lesueurii,Resilient,Wild,Wild,Adult,Male,,,,,,1192,,Organism,Body condition,Body mass index,,44,0.4631,,,1,-0.102591423,n,-0.102953638,0.024390244,0.156173762,,,
6,An,2016,text,Anura,Hylidae,Hyla japonica,Dryophytes japonicus,Resilient,Wild,Wild,Adult,Male,4.417569152,127.220444,37.637528,21.4,,29,,Organism,Behaviour,Call rate,pulses/s,51,,0.01,,242,0.006428111,n,0.006428199,0.020833333,0.144337567,,Enhanced call effort in Japanese tree frogs infected by amphibian chytrid fungus,https://royalsocietypublishing.org/doi/full/10.1098/rsbl.2016.0018
6,An,2016,text,Anura,Hylidae,Hyla japonica,Dryophytes japonicus,Resilient,Wild,Wild,Adult,Male,4.417569152,,,21.4,,29,,Organism,Behaviour,Note duration,ms,51,,15.97,,242,0.248810014,n,0.254143896,0.020833333,0.144337567,,,
7,Carver,2010,Table 1,Anura,Pelodryadidae,Litoria raniformis,Litoria raniformis,Resilient,Wild,Lab,Adult,,29.5,169.383333,-45.25,15,,,7,Organism,Energy metabolism,RMR,ul/g/min,12,,,0.85,10,0.259579803,n,0.265657798,0.111111111,0.333333333,,Does Chytridiomycosis Disrupt Amphibian Skin Function?,https://meridian.allenpress.com/copeia/article-abstract/2010/3/487/114400/Does-Chytridiomycosis-Disrupt-Amphibian-Skin
7,Carver,2010,Table 1,Anura,Pelodryadidae,Litoria raniformis,Litoria raniformis,Resilient,Wild,Lab,Adult,,32,,,15,,,152,Organism,Energy metabolism,RMR,ul/g/min,12,,,0.93,9,0.296098771,n,0.30523802,0.111111111,0.333333333,,,
7,Carver,2010,Table 1,Anura,Pelodryadidae,Litoria raniformis,Litoria raniformis,Resilient,Wild,Lab,Adult,,29.5,,,15,,,7,Organism,Energy metabolism,RMR,ul/g/min,12,,,1.71,10,0.47565926,n,0.517359192,0.111111111,0.333333333,,,
7,Carver,2010,Table 1,Anura,Pelodryadidae,Litoria raniformis,Litoria raniformis,Resilient,Wild,Lab,Adult,,32,,,15,,,152,Organism,Energy metabolism,RMR,ul/g/min,12,,,0.14,9,0.046615935,n,0.046649745,0.111111111,0.333333333,,,
7,Carver,2010,Table 2,Anura,Pelodryadidae,Litoria raniformis,Litoria raniformis,Resilient,Wild,Lab,Adult,,29.5,,,15,,,7,Organism,Osmoregulation,Water uptake,mg/g/min,12,,4.33,,18,-0.440351608,n,-0.47266691,0.111111111,0.333333333,,,
7,Carver,2010,Table 2,Anura,Pelodryadidae,Litoria raniformis,Litoria raniformis,Resilient,Wild,Lab,Adult,,32,,,15,,,152,Organism,Osmoregulation,Water uptake,mg/g/min,12,,0.02,,16,-0.035333263,n,-0.035347978,0.111111111,0.333333333,,,
8,Marcum,2010,text,Anura,Bufonidae,Anaxyrus boreas,Anaxyrus boreas,Sensitive,Lab,Wild,Adult,,17.9,,,15,JEL 275,,14,Cellular,Osmoregulation,Plasma sodium,mmol/l,37,,11.17,,9,-0.744172535,n,-0.959766138,0.029411765,0.171498585,,Effects of Batrachochytrium dendrobatidis infection on ion concentrations in the boreal toad Anaxyrus (Bufo) boreas boreas,https://www.int-res.com/abstracts/dao/v91/n1/p17-21/
8,Marcum,2010,text,Anura,Bufonidae,Anaxyrus boreas,Anaxyrus boreas,Sensitive,Lab,Wild,Adult,,17.9,,,15,JEL 275,,14,Cellular,Osmoregulation,Plasma potassium,mmol/l,37,,4.69,,9,-0.58530832,n,-0.670499443,0.029411765,0.171498585,,,
8,Marcum,2010,text,Anura,Bufonidae,Anaxyrus boreas,Anaxyrus boreas,Sensitive,Lab,Wild,Adult,,17.9,,,15,JEL 275,,14,Cellular,Osmoregulation,Plasma osmolarity,osmol/kg,37,,6.82,,9,-0.656581963,n,-0.786781613,0.029411765,0.171498585,,,
9,Retallick,2007,text,Anura,Hylidae,Pseudacris triseriata,Pseudacris triseriata,Resilient,Wild,Lab,Juvenile,Juvenile,0.79,,,20,,,172,Organism,Body condition,Mass change,,60,,,2.667,37,-0.401550587,n,-0.425496233,0.01754386,0.132453236,,"Strain differences in the amphibian chytrid Batrachochytrium dendrobatidis and non-permanent, sub-lethal effects of infection",https://www.int-res.com/abstracts/dao/v75/n3/p201-207/
10,Caseltine,2016,Table 1,Anura,Ranidae,Lithobates pipiens,Rana pipiens,Tolerant,Wild,Lab,Juvenile,Juvenile,,-84.722483,39.493104,22,JEL 646,,42,Organism,Body condition,Mass change,,40,,13.39,,39,-0.505552299,n,-0.55673685,0.027027027,0.164398987,,Terrestrial Growth in Northern Leopard Frogs Reared in the Presence or Absence of Predators and Exposed to the Amphibian Chytrid Fungus at Metamorphosis,https://meridian.allenpress.com/journal-of-herpetology/article-abstract/50/3/404/197536/Terrestrial-Growth-in-Northern-Leopard-Frogs
11,Paetow,2012,Table A4,Anura,Ranidae,Lithobates pipiens,Rana pipiens,Tolerant,Wild,Lab,Juvenile,Juvenile,4.41,-73.435,45.635,21,JEL 423,,94,Organism,Body condition,Mass change,,120,,0.16,,2,-0.272165527,n,-0.279201108,0.008547009,0.092450033,,Effects of herbicides and the chytrid fungus Batrachochytrium dendrobatidis on the health of post-metamorphic northern leopard frogs (Lithobates pipiens),https://www.sciencedirect.com/science/article/pii/S0147651312001145?casa_token=lby_gKP4Kx4AAAAA:wC9F4g1FD0VayqP7XBXb0jm4D8SfJXAglsVq6IjjR2WRzW2x3Axcs6QibPsgqDvt_t1tdHHJ
11,Paetow,2012,Table A11,Anura,Ranidae,Lithobates pipiens,Rana pipiens,Tolerant,Wild,Lab,Juvenile,Juvenile,4.41,,,21,JEL 423,,21,Tissue,Immune,Hepatosomatic index,,121,,0.21,,2,0.3082574,n,0.31861869,0.008474576,0.092057462,,,
11,Paetow,2012,Table A11,Anura,Ranidae,Lithobates pipiens,Rana pipiens,Tolerant,Wild,Lab,Juvenile,Juvenile,4.41,,,21,JEL 423,,21,Tissue,Immune,Splenosomatic index,,121,,0.2,,2,0.301511345,n,0.311181252,0.008474576,0.092057462,,,
11,Paetow,2012,Table A14,Anura,Ranidae,Lithobates pipiens,Rana pipiens,Tolerant,Wild,Lab,Juvenile,Juvenile,4.41,,,21,JEL 423,,21,Cellular,Immune,Basophils,,61,0.02,,,2,-0.018107149,n,-0.018109129,0.017241379,0.131306433,,,
11,Paetow,2012,Table A14,Anura,Ranidae,Lithobates pipiens,Rana pipiens,Tolerant,Wild,Lab,Juvenile,Juvenile,4.41,,,21,JEL 423,,21,Cellular,Immune,Neutrophils,,61,3.46,,,2,-0.238162364,n,-0.242825069,0.017241379,0.131306433,,,
11,Paetow,2012,Table A14,Anura,Ranidae,Lithobates pipiens,Rana pipiens,Tolerant,Wild,Lab,Juvenile,Juvenile,4.41,,,21,JEL 423,,21,Cellular,Immune,Eosinophils,,61,0.02,,,2,0.018107149,n,0.018109129,0.017241379,0.131306433,,,
11,Paetow,2012,Table A14,Anura,Ranidae,Lithobates pipiens,Rana pipiens,Tolerant,Wild,Lab,Juvenile,Juvenile,4.41,,,21,JEL 423,,21,Cellular,Immune,Monocytes,,61,0.18,,,2,0.054321448,n,0.054374973,0.017241379,0.131306433,,,
11,Paetow,2012,Table A14,Anura,Ranidae,Lithobates pipiens,Rana pipiens,Tolerant,Wild,Lab,Juvenile,Juvenile,4.41,,,21,JEL 423,,21,Cellular,Immune,Lymphocytes,,61,1.08,,,2,0.133059829,n,0.133853549,0.017241379,0.131306433,,,
11,Paetow,2012,Table A14,Anura,Ranidae,Lithobates pipiens,Rana pipiens,Tolerant,Wild,Lab,Juvenile,Juvenile,4.41,,,21,JEL 423,,21,Cellular,Immune,White blood cells,,61,0.55,,,2,-0.094954692,n,-0.095241628,0.017241379,0.131306433,,,
12,Wardziak,2013,Table 2,Urodela,Salamandridae,Lissotriton helveticus,Lissotriton helveticus,Sensitive,Wild,Lab,Adult,Male,0.627,5.441111,45.732222,20,IA2004-043,20.35,16,Organism,Behaviour,Activity,moves/min,64,,3.32,,54.2,-0.240247902,n,-0.245037183,0.016393443,0.12803688,,Impact of both desiccation and exposure to an emergent skin pathogen on transepidermal water exchange in the palmate newt Lissotriton helveticus ,https://www.int-res.com/abstracts/dao/v104/n3/p215-224/
12,Wardziak,2013,Table 2,Urodela,Salamandridae,Lissotriton helveticus,Lissotriton helveticus,Sensitive,Wild,Lab,Adult,Male,0.627,,,20,IA2004-043,20.35,16,Organism,Behaviour,Water conserving posture,min,64,,1,,62.1,-0.125888286,y,-0.126559702,0.016393443,0.12803688,,,
12,Wardziak,2013,Table 4,Urodela,Salamandridae,Lissotriton helveticus,Lissotriton helveticus,Sensitive,Wild,Lab,Adult,Male,0.627,,,20,IA2004-043,20.35,16,Organism,Osmoregulation,Evaporative water loss,mg/min,64,,1.19,,65.6,-0.13348048,y,-0.134281806,0.016393443,0.12803688,,,
12,Wardziak,2013,Table 4,Urodela,Salamandridae,Lissotriton helveticus,Lissotriton helveticus,Sensitive,Wild,Lab,Adult,Male,0.627,,,20,IA2004-043,20.35,16,Organism,Osmoregulation,Water uptake,,64,,37.6,,37.6,0.707106781,n,0.881373587,0.016393443,0.12803688,,,
13,Davidson,2007,Table S1,Anura,Ranidae,Rana boylii,Rana boylii,Sensitive,Wild,Lab,Juvenile,Juvenile,,-123.568227,38.864187,21,LJR 119,,70,Organism,Body condition,Mass change,,14,,18.3,,13,-0.764633596,n,-1.007277445,0.090909091,0.301511345,,"Effects of Chytrid and Carbaryl Exposure on Survival, Growth and Skin Peptide Defenses in Foothill Yellow-legged Frogs",https://pubs.acs.org/doi/full/10.1021/es0611947
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Wild,Lab,Adult,,59.8,146.499271,-19.303459,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Immune,Splenic cell viability,%,20,,,,,-0.69777447,n,-0.862950005,0.058823529,0.242535625,,Emerging amphibian diseases in Queensland and host immune response to disease,https://researchonline.jcu.edu.au/29164/
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria infrafrenata,Litoria infrafrenata,Resilient,Wild,Lab,Adult,,66.9,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Immune,Splenic cell viability,%,19,,,,,-0.24721163,n,-0.252440752,0.0625,0.25,published in PloS ONE,Defects in Host Immune Function in Tree Frogs with Chronic Chytridiomycosis,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0107284
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Wild,Lab,Adult,,59.8,,,21,Melbourne-L.lesueri-00-LB-1,,7,Tissue,Immune,Liver ratio,,20,,,,,-0.690659245,n,-0.84921519,0.058823529,0.242535625,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria infrafrenata,Litoria infrafrenata,Resilient,Wild,Lab,Adult,,66.9,,,21,Melbourne-L.lesueri-00-LB-1,,7,Tissue,Immune,Liver ratio,,19,,,,,0.08466174,n,0.084864889,0.0625,0.25,,,
